Jun 19 03:09:26.269 INFO SEGA_DC: dats/SEGA_DC/Sega - Dreamcast - Datfile (1336) (2020-05-29 22-28-41).dat, path: dats/SEGA_DC/Sega - Dreamcast - Datfile (1336) (2020-05-29 22-28-41).dat, platform_id: SEGA_DC
Jun 19 03:09:26.398 INFO NINTENDO_WIIU: dats/NINTENDO_WIIU/Nintendo - Wii U - Datfile (490) (2020-06-18 21-42-21).dat, path: dats/NINTENDO_WIIU/Nintendo - Wii U - Datfile (490) (2020-06-18 21-42-21).dat, platform_id: NINTENDO_WIIU
Jun 19 03:09:26.485 INFO NEC_TGCD: dats/NEC_TGCD/NEC - PC Engine CD & TurboGrafx CD - Datfile (527) (2020-05-24 02-35-36).dat, path: dats/NEC_TGCD/NEC - PC Engine CD & TurboGrafx CD - Datfile (527) (2020-05-24 02-35-36).dat, platform_id: NEC_TGCD
Jun 19 03:09:26.631 INFO MICROSOFT_XBOX: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2446) (2020-06-17 22-51-09).dat, path: dats/MICROSOFT_XBOX/Microsoft - Xbox - Datfile (2446) (2020-06-17 22-51-09).dat, platform_id: MICROSOFT_XBOX
Jun 19 03:09:26.703 INFO MICROSOFT_XBOX: dats/MICROSOFT_XBOX/Microsoft - Xbox - BIOS Datfile (7) (2010-09-13).dat, path: dats/MICROSOFT_XBOX/Microsoft - Xbox - BIOS Datfile (7) (2010-09-13).dat, platform_id: MICROSOFT_XBOX
Jun 19 03:09:26.707 INFO PHILIPS_CDI: dats/PHILIPS_CDI/Philips - CD-i - Datfile (237) (2020-05-24 19-13-59).dat, path: dats/PHILIPS_CDI/Philips - CD-i - Datfile (237) (2020-05-24 19-13-59).dat, platform_id: PHILIPS_CDI
Jun 19 03:09:26.761 INFO SEGA_CD: dats/SEGA_CD/Sega - Mega CD & Sega CD - Datfile (530) (2020-06-11 01-12-03).dat, path: dats/SEGA_CD/Sega - Mega CD & Sega CD - Datfile (530) (2020-06-11 01-12-03).dat, platform_id: SEGA_CD
Jun 19 03:09:26.857 INFO FUJITSU_FMT: dats/FUJITSU_FMT/Fujitsu - FM-Towns - Datfile (309) (2020-06-17 17-02-02).dat, path: dats/FUJITSU_FMT/Fujitsu - FM-Towns - Datfile (309) (2020-06-17 17-02-02).dat, platform_id: FUJITSU_FMT
Jun 19 03:09:27.037 INFO SEGA_SAT: dats/SEGA_SAT/Sega - Saturn - Datfile (2281) (2020-06-08 22-02-42).dat, path: dats/SEGA_SAT/Sega - Saturn - Datfile (2281) (2020-06-08 22-02-42).dat, platform_id: SEGA_SAT
Jun 19 03:09:27.361 INFO MICROSOFT_XBO: dats/MICROSOFT_XBO/Microsoft - Xbox One - Datfile (346) (2020-06-18 21-20-02).dat, path: dats/MICROSOFT_XBO/Microsoft - Xbox One - Datfile (346) (2020-06-18 21-20-02).dat, platform_id: MICROSOFT_XBO
Jun 19 03:09:27.376 INFO NEC_PCFX: dats/NEC_PCFX/NEC - PC-FX & PC-FXGA - Datfile (78) (2020-02-28 01-31-34).dat, path: dats/NEC_PCFX/NEC - PC-FX & PC-FXGA - Datfile (78) (2020-02-28 01-31-34).dat, platform_id: NEC_PCFX
