Aug 16 23:59:10.519 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Demos (TOSEC-v2011-08-13_CM).dat, platform_id: SEGA_SG1000
Aug 16 23:59:10.519 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Applications (TOSEC-v2011-12-19_CM).dat, platform_id: SEGA_SG1000
Aug 16 23:59:10.522 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, path: dats/SEGA_SG1000/Sega - SG-1000 (20200217-185318).dat, platform_id: SEGA_SG1000
Aug 16 23:59:10.536 INFO SEGA_SG1000: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_SG1000/Sega Game 1000 - Games (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_SG1000
Aug 16 23:59:10.549 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (20200726-085508).dat, platform_id: NINTENDO_3DS
Aug 16 23:59:10.607 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200815-055450).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Encrypted) (20200815-055450).dat, platform_id: NINTENDO_3DS
Aug 16 23:59:10.696 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Encrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 16 23:59:10.767 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200815-055450).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Decrypted) (20200815-055450).dat, platform_id: NINTENDO_3DS
Aug 16 23:59:10.847 INFO NINTENDO_3DS: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, path: dats/NINTENDO_3DS/Nintendo - Nintendo 3DS (Digital) (Updates and DLC) (Decrypted) (20200728-070505).dat, platform_id: NINTENDO_3DS
Aug 16 23:59:10.849 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Aug 16 23:59:10.850 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
