Apr 04 00:25:29.503 INFO SONY_PS2: dats/SONY_PS2/Sony - PlayStation 2 - BIOS Datfile (107) (2019-11-25).dat, path: dats/SONY_PS2/Sony - PlayStation 2 - BIOS Datfile (107) (2019-11-25).dat, platform_id: SONY_PS2
Apr 04 00:25:29.696 INFO SONY_PS2: dats/SONY_PS2/Sony - PlayStation 2 - Datfile (10249) (2021-04-03 13-32-39).dat, path: dats/SONY_PS2/Sony - PlayStation 2 - Datfile (10249) (2021-04-03 13-32-39).dat, platform_id: SONY_PS2
Apr 04 00:25:30.226 INFO SONY_PS2: dats/SONY_PS2/Sony PlayStation 2 - Firmware (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PS2/Sony PlayStation 2 - Firmware (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PS2
Apr 04 00:25:30.258 INFO NINTENDO_BS: dats/NINTENDO_BS/OpenSNES.BS.dat, path: dats/NINTENDO_BS/OpenSNES.BS.dat, platform_id: NINTENDO_BS
Apr 04 00:25:30.284 INFO NINTENDO_BS: dats/NINTENDO_BS/Nintendo - Satellaview (20201226-093906).dat, path: dats/NINTENDO_BS/Nintendo - Satellaview (20201226-093906).dat, platform_id: NINTENDO_BS
Apr 04 00:25:30.293 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 04 00:25:30.295 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [EXE] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 04 00:25:30.298 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [ISO] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 04 00:25:30.298 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Demos - [PSX] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Demos - [PSX] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 04 00:25:30.299 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Games - [IMG] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
Apr 04 00:25:30.299 INFO SONY_PSX: dats/SONY_PSX/Sony PlayStation - Samplers - [BIN] (TOSEC-v2012-09-08_CM).dat, path: dats/SONY_PSX/Sony PlayStation - Samplers - [BIN] (TOSEC-v2012-09-08_CM).dat, platform_id: SONY_PSX
