Aug 13 21:17:25.790 INFO ATARI_2600: dats\ATARI_2600\Atari - 2600 (20220808-025650).dat, path: dats\ATARI_2600\Atari - 2600 (20220808-025650).dat, platform_id: ATARI_2600
Aug 13 21:17:25.809 INFO ATARI_2600: dats\ATARI_2600\Atari 2600 & VCS - Applications (TOSEC-v2020-07-03_CM).dat, path: dats\ATARI_2600\Atari 2600 & VCS - Applications (TOSEC-v2020-07-03_CM).dat, platform_id: ATARI_2600
Aug 13 21:17:25.818 INFO ATARI_2600: dats\ATARI_2600\Atari 2600 & VCS - Demos (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_2600\Atari 2600 & VCS - Demos (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_2600
Aug 13 21:17:25.829 INFO ATARI_2600: dats\ATARI_2600\Atari 2600 & VCS - Educational (TOSEC-v2019-09-02_CM).dat, path: dats\ATARI_2600\Atari 2600 & VCS - Educational (TOSEC-v2019-09-02_CM).dat, platform_id: ATARI_2600
Aug 13 21:17:25.860 INFO ATARI_2600: dats\ATARI_2600\Atari 2600 & VCS - Games (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_2600\Atari 2600 & VCS - Games (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_2600
Aug 13 21:17:26.015 INFO ATARI_2600: dats\ATARI_2600\Open2600.dat, path: dats\ATARI_2600\Open2600.dat, platform_id: ATARI_2600
Aug 13 21:17:26.173 INFO ATARI_5200: dats\ATARI_5200\Atari - 5200 (20220405-183755).dat, path: dats\ATARI_5200\Atari - 5200 (20220405-183755).dat, platform_id: ATARI_5200
Aug 13 21:17:26.181 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Applications (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_5200\Atari 5200 - Applications (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_5200
Aug 13 21:17:26.182 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Demos (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_5200\Atari 5200 - Demos (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_5200
Aug 13 21:17:26.183 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Firmware (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_5200\Atari 5200 - Firmware (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_5200
Aug 13 21:17:26.187 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Games (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_5200\Atari 5200 - Games (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_5200
Aug 13 21:17:26.204 INFO ATARI_5200: dats\ATARI_5200\Open5200.dat, path: dats\ATARI_5200\Open5200.dat, platform_id: ATARI_5200
Aug 13 21:17:26.217 INFO ATARI_7800: dats\ATARI_7800\Atari - 7800 (20220714-205237).dat, path: dats\ATARI_7800\Atari - 7800 (20220714-205237).dat, platform_id: ATARI_7800
Aug 13 21:17:26.226 INFO ATARI_7800: dats\ATARI_7800\Atari 7800 - Applications (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_7800\Atari 7800 - Applications (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_7800
Aug 13 21:17:26.227 INFO ATARI_7800: dats\ATARI_7800\Atari 7800 - Firmware (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_7800\Atari 7800 - Firmware (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_7800
Aug 13 21:17:26.230 INFO ATARI_7800: dats\ATARI_7800\Atari 7800 - Games (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_7800\Atari 7800 - Games (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_7800
Aug 13 21:17:26.256 INFO ATARI_7800: dats\ATARI_7800\Open7800.dat, path: dats\ATARI_7800\Open7800.dat, platform_id: ATARI_7800
Aug 13 21:17:26.277 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari - Jaguar (J64) (20220801-094816).dat, path: dats\ATARI_JAGUAR\Atari - Jaguar (J64) (20220801-094816).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.285 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari - Jaguar (ROM) (20220801-094816).dat, path: dats\ATARI_JAGUAR\Atari - Jaguar (ROM) (20220801-094816).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.293 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ABS] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ABS] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.293 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.294 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [COF] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [COF] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.295 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [JAG] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [JAG] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.297 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ROM] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ROM] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.298 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ABS] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ABS] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.298 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [BIN] (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [BIN] (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.301 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [COF] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [COF] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.303 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [JAG] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [JAG] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.308 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ROM] (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ROM] (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.309 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Firmware (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Firmware (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.310 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [ABS] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [ABS] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.311 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [BIN] (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [BIN] (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.313 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [COF] (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [COF] (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.315 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [J64] (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [J64] (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.324 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [JAG] (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [JAG] (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.325 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [Multipart] (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [Multipart] (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.327 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [ROM] (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [ROM] (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.337 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\OpenJag.dat, path: dats\ATARI_JAGUAR\OpenJag.dat, platform_id: ATARI_JAGUAR
Aug 13 21:17:26.349 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari - Jaguar CD Interactive Multimedia System - Datfile (21) (2022-07-22 18-15-25).dat, path: dats\ATARI_JAGUAR_CD\Atari - Jaguar CD Interactive Multimedia System - Datfile (21) (2022-07-22 18-15-25).dat, platform_id: ATARI_JAGUAR_CD
Aug 13 21:17:26.353 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Games (TOSEC-v2012-07-17_CM).dat, path: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Games (TOSEC-v2012-07-17_CM).dat, platform_id: ATARI_JAGUAR_CD
Aug 13 21:17:26.355 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat, path: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [BIN] (TOSEC-v2012-07-22_CM).dat, platform_id: ATARI_JAGUAR_CD
Aug 13 21:17:26.356 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [CDI] (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_JAGUAR_CD
Aug 13 21:17:26.356 INFO ATARI_JAGUAR_CD: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat, path: dats\ATARI_JAGUAR_CD\Atari Jaguar CD - Homebrew - Games - [NRG] (TOSEC-v2012-07-22_CM).dat, platform_id: ATARI_JAGUAR_CD
Aug 13 21:17:26.357 INFO ATARI_LYNX: dats\ATARI_LYNX\Atari - Lynx (20220513-205052).dat, path: dats\ATARI_LYNX\Atari - Lynx (20220513-205052).dat, platform_id: ATARI_LYNX
Aug 13 21:17:26.369 INFO ATARI_LYNX: dats\ATARI_LYNX\Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_LYNX\Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Aug 13 21:17:26.373 INFO ATARI_LYNX: dats\ATARI_LYNX\Atari Lynx - Demos (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_LYNX\Atari Lynx - Demos (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_LYNX
Aug 13 21:17:26.386 INFO ATARI_LYNX: dats\ATARI_LYNX\Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_LYNX\Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Aug 13 21:17:26.392 INFO ATARI_LYNX: dats\ATARI_LYNX\OpenLynx.dat, path: dats\ATARI_LYNX\OpenLynx.dat, platform_id: ATARI_LYNX
Aug 13 21:17:26.403 INFO BANDAI_WS: dats\BANDAI_WS\Bandai - WonderSwan (20220519-220027).dat, path: dats\BANDAI_WS\Bandai - WonderSwan (20220519-220027).dat, platform_id: BANDAI_WS
Aug 13 21:17:26.414 INFO BANDAI_WS: dats\BANDAI_WS\Bandai WonderSwan - Demos (TOSEC-v2013-12-13_CM).dat, path: dats\BANDAI_WS\Bandai WonderSwan - Demos (TOSEC-v2013-12-13_CM).dat, platform_id: BANDAI_WS
Aug 13 21:17:26.417 INFO BANDAI_WS: dats\BANDAI_WS\Bandai WonderSwan - Games (TOSEC-v2022-06-08_CM).dat, path: dats\BANDAI_WS\Bandai WonderSwan - Games (TOSEC-v2022-06-08_CM).dat, platform_id: BANDAI_WS
Aug 13 21:17:26.434 INFO BANDAI_WS: dats\BANDAI_WS\OpenWSx.WS.dat, path: dats\BANDAI_WS\OpenWSx.WS.dat, platform_id: BANDAI_WS
Aug 13 21:17:26.452 INFO BANDAI_WSC: dats\BANDAI_WSC\Bandai - WonderSwan Color (20220111-030408).dat, path: dats\BANDAI_WSC\Bandai - WonderSwan Color (20220111-030408).dat, platform_id: BANDAI_WSC
Aug 13 21:17:26.463 INFO BANDAI_WSC: dats\BANDAI_WSC\Bandai WonderSwan Color - Demos (TOSEC-v2022-06-08_CM).dat, path: dats\BANDAI_WSC\Bandai WonderSwan Color - Demos (TOSEC-v2022-06-08_CM).dat, platform_id: BANDAI_WSC
Aug 13 21:17:26.469 INFO BANDAI_WSC: dats\BANDAI_WSC\Bandai WonderSwan Color - Games (TOSEC-v2022-06-08_CM).dat, path: dats\BANDAI_WSC\Bandai WonderSwan Color - Games (TOSEC-v2022-06-08_CM).dat, platform_id: BANDAI_WSC
Aug 13 21:17:26.485 INFO BANDAI_WSC: dats\BANDAI_WSC\OpenWSx.WSC.dat, path: dats\BANDAI_WSC\OpenWSx.WSC.dat, platform_id: BANDAI_WSC
Aug 13 21:17:26.501 INFO COLECO_CV: dats\COLECO_CV\Coleco - ColecoVision (20220727-213002).dat, path: dats\COLECO_CV\Coleco - ColecoVision (20220727-213002).dat, platform_id: COLECO_CV
Aug 13 21:17:26.518 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Applications (TOSEC-v2021-07-25_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Applications (TOSEC-v2021-07-25_CM).dat, platform_id: COLECO_CV
Aug 13 21:17:26.519 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Demos (TOSEC-v2015-05-07_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Demos (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Aug 13 21:17:26.525 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Educational (TOSEC-v2015-05-07_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Educational (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Aug 13 21:17:26.529 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Firmware (TOSEC-v2015-05-07_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Firmware (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Aug 13 21:17:26.537 INFO COLECO_CV: dats\COLECO_CV\Coleco ColecoVision - Games (TOSEC-v2022-06-08_CM).dat, path: dats\COLECO_CV\Coleco ColecoVision - Games (TOSEC-v2022-06-08_CM).dat, platform_id: COLECO_CV
Aug 13 21:17:26.560 INFO COLECO_CV: dats\COLECO_CV\OpenCol.dat, path: dats\COLECO_CV\OpenCol.dat, platform_id: COLECO_CV
Aug 13 21:17:26.627 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu - FM-Towns - Datfile (886) (2022-07-26 14-25-22).dat, path: dats\FUJITSU_FMT\Fujitsu - FM-Towns - Datfile (886) (2022-07-26 14-25-22).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.705 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.706 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [D88] (TOSEC-v2011-02-07_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [D88] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.706 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [HDM] (TOSEC-v2018-07-01_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Applications - [HDM] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.707 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Compilations (TOSEC-v2012-07-13_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.708 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Games (TOSEC-v2012-07-13_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.709 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Demos (TOSEC-v2012-07-22_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.709 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - CD - Homebrew - Games (TOSEC-v2012-07-22_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.710 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Firmware (TOSEC-v2011-02-26_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Firmware (TOSEC-v2011-02-26_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.711 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [BIN] (TOSEC-v2020-07-12_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [BIN] (TOSEC-v2020-07-12_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.720 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [D88] (TOSEC-v2011-02-07_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [D88] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.727 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [HDM] (TOSEC-v2018-07-01_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [HDM] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.739 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [BIN] (TOSEC-v2011-02-07_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [BIN] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.741 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [HDM] (TOSEC-v2021-12-11_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [HDM] (TOSEC-v2021-12-11_CM).dat, platform_id: FUJITSU_FMT
Aug 13 21:17:26.742 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE - Vectrex (20170908-211236).dat, path: dats\GCE_VECTREX\GCE - Vectrex (20170908-211236).dat, platform_id: GCE_VECTREX
Aug 13 21:17:26.748 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Compilations (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Compilations (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
Aug 13 21:17:26.751 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Demos - Music (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Demos - Music (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
Aug 13 21:17:26.758 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Demos - Slideshows (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Demos - Slideshows (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
