Sep 04 17:54:30.518 INFO ATARI_2600: dats\ATARI_2600\Atari 2600 & VCS - Applications (TOSEC-v2024-07-03_CM).dat, path: dats\ATARI_2600\Atari 2600 & VCS - Applications (TOSEC-v2024-07-03_CM).dat, platform_id: ATARI_2600
Sep 04 17:54:30.524 INFO ATARI_2600: dats\ATARI_2600\Atari 2600 & VCS - Educational (TOSEC-v2025-01-15_CM).dat, path: dats\ATARI_2600\Atari 2600 & VCS - Educational (TOSEC-v2025-01-15_CM).dat, platform_id: ATARI_2600
Sep 04 17:54:30.604 INFO ATARI_2600: dats\ATARI_2600\Atari 2600 & VCS - Games (TOSEC-v2025-01-15_CM).dat, path: dats\ATARI_2600\Atari 2600 & VCS - Games (TOSEC-v2025-01-15_CM).dat, platform_id: ATARI_2600
Sep 04 17:54:31.434 INFO ATARI_2600: dats\ATARI_2600\Open2600.dat, path: dats\ATARI_2600\Open2600.dat, platform_id: ATARI_2600
Sep 04 17:54:31.746 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Applications (TOSEC-v2022-12-21_CM).dat, path: dats\ATARI_5200\Atari 5200 - Applications (TOSEC-v2022-12-21_CM).dat, platform_id: ATARI_5200
Sep 04 17:54:31.747 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Demos (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_5200\Atari 5200 - Demos (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_5200
Sep 04 17:54:31.748 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Firmware (TOSEC-v2013-12-13_CM).dat, path: dats\ATARI_5200\Atari 5200 - Firmware (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_5200
Sep 04 17:54:31.768 INFO ATARI_5200: dats\ATARI_5200\Atari 5200 - Games (TOSEC-v2025-01-15_CM).dat, path: dats\ATARI_5200\Atari 5200 - Games (TOSEC-v2025-01-15_CM).dat, platform_id: ATARI_5200
Sep 04 17:54:31.810 INFO ATARI_5200: dats\ATARI_5200\Open5200.dat, path: dats\ATARI_5200\Open5200.dat, platform_id: ATARI_5200
Sep 04 17:54:31.823 INFO ATARI_7800: dats\ATARI_7800\Atari 7800 - Applications (TOSEC-v2024-07-03_CM).dat, path: dats\ATARI_7800\Atari 7800 - Applications (TOSEC-v2024-07-03_CM).dat, platform_id: ATARI_7800
Sep 04 17:54:31.824 INFO ATARI_7800: dats\ATARI_7800\Atari 7800 - Firmware (TOSEC-v2022-12-21_CM).dat, path: dats\ATARI_7800\Atari 7800 - Firmware (TOSEC-v2022-12-21_CM).dat, platform_id: ATARI_7800
Sep 04 17:54:31.836 INFO ATARI_7800: dats\ATARI_7800\Atari 7800 - Games (TOSEC-v2025-01-15_CM).dat, path: dats\ATARI_7800\Atari 7800 - Games (TOSEC-v2025-01-15_CM).dat, platform_id: ATARI_7800
Sep 04 17:54:31.957 INFO ATARI_7800: dats\ATARI_7800\Open7800.dat, path: dats\ATARI_7800\Open7800.dat, platform_id: ATARI_7800
Sep 04 17:54:31.997 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ABS] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ABS] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:31.998 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [BIN] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:31.998 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [COF] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [COF] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.000 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [JAG] (TOSEC-v2024-01-15_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [JAG] (TOSEC-v2024-01-15_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.001 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ROM] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Applications - [ROM] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.002 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ABS] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ABS] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.004 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [BIN] (TOSEC-v2024-07-03_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [BIN] (TOSEC-v2024-07-03_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.005 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [COF] (TOSEC-v2018-07-01_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [COF] (TOSEC-v2018-07-01_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.007 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [J64] (TOSEC-v2025-01-15_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [J64] (TOSEC-v2025-01-15_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.011 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [JAG] (TOSEC-v2024-01-15_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [JAG] (TOSEC-v2024-01-15_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.013 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ROM] (TOSEC-v2024-07-03_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Demos - [ROM] (TOSEC-v2024-07-03_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.015 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Firmware (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Firmware (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.016 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [BIN] (TOSEC-v2024-01-15_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [BIN] (TOSEC-v2024-01-15_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.016 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [COF] (TOSEC-v2022-06-08_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [COF] (TOSEC-v2022-06-08_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.026 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [J64] (TOSEC-v2024-01-15_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [J64] (TOSEC-v2024-01-15_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.033 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [JAG] (TOSEC-v2024-01-15_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [JAG] (TOSEC-v2024-01-15_CM).dat, platform_id: ATARI_JAGUAR
Sep 04 17:54:32.033 INFO ATARI_JAGUAR: dats\ATARI_JAGUAR\Atari Jaguar - Games - [Multipart] (TOSEC-v2021-07-25_CM).dat, path: dats\ATARI_JAGUAR\Atari Jaguar - Games - [Multipart] (TOSEC-v2021-07-25_CM).dat, platform_id: ATARI_JAGUAR
